bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
1204	chr15	81190166	81191037	CpG: 84	871	84	592	19.3	68	0.84
1202	chr15	80977727	80978251	CpG: 63	524	63	379	24	72.3	0.93
1196	chr15	80133017	80133591	CpG: 60	574	60	391	20.9	68.1	0.9
1232	chr15	84853463	84856560	CpG: 251	3097	251	1843	16.2	59.5	0.91
1196	chr15	80173238	80174282	CpG: 90	1044	90	594	17.2	56.9	1.07
1196	chr15	80211358	80211956	CpG: 46	598	46	374	15.4	62.5	0.79
1196	chr15	80212122	80212389	CpG: 19	267	19	163	14.2	61	0.77
1174	chr15	77306231	77307249	CpG: 97	1018	97	607	19.1	59.6	1.07
1197	chr15	80233876	80234421	CpG: 60	545	60	384	22	70.5	0.89
1197	chr15	80255094	80256136	CpG: 99	1042	99	663	19	63.6	0.94
1233	chr15	84987556	84987785	CpG: 29	229	29	142	25.3	62	1.34
1233	chr15	85036799	85037283	CpG: 65	484	65	342	26.9	70.7	1.1
1262	chr15	88861825	88863864	CpG: 231	2039	231	1374	22.7	67.4	1
1205	chr15	81360570	81360946	CpG: 27	376	27	231	14.4	61.4	0.78
1263	chr15	88890660	88890981	CpG: 28	321	28	222	17.4	69.2	0.73
1263	chr15	88954448	88955003	CpG: 51	555	51	375	18.4	67.6	0.83
1252	chr15	87544014	87545233	CpG: 119	1219	119	736	19.5	60.4	1.07
1253	chr15	87624070	87625706	CpG: 196	1636	196	1072	24	65.5	1.12
1206	chr15	81399335	81400166	CpG: 65	831	65	522	15.6	62.8	0.8
1206	chr15	81466197	81466957	CpG: 59	760	59	488	15.5	64.2	0.8
1234	chr15	85131665	85132180	CpG: 49	515	49	329	19	63.9	0.94
1207	chr15	81585125	81586774	CpG: 155	1649	155	1054	18.8	63.9	0.92
1263	chr15	88982749	88983169	CpG: 30	420	30	274	14.3	65.2	0.68
1183	chr15	78428633	78428939	CpG: 29	306	29	199	19	65	0.91
1183	chr15	78436813	78437123	CpG: 25	310	25	224	16.1	72.3	0.62
1235	chr15	85206017	85206390	CpG: 41	373	41	275	22	73.7	0.83
1264	chr15	89060095	89060423	CpG: 35	328	35	229	21.3	69.8	0.88
1264	chr15	89067581	89068614	CpG: 79	1033	79	626	15.3	60.6	0.84
1219	chr15	83122357	83122862	CpG: 49	505	49	336	19.4	66.5	0.88
1236	chr15	85336122	85336899	CpG: 65	777	65	515	16.7	66.3	0.76
1237	chr15	85537341	85537789	CpG: 42	448	42	294	18.8	65.6	0.87
1237	chr15	85543705	85543907	CpG: 18	202	18	127	17.8	62.9	0.92
1237	chr15	85576298	85578144	CpG: 131	1846	131	1165	14.2	63.1	0.72
1237	chr15	85580411	85582062	CpG: 175	1651	175	1091	21.2	66.1	0.97
1264	chr15	89076234	89076459	CpG: 16	225	16	146	14.2	64.9	0.68
1264	chr15	89088970	89089753	CpG: 96	783	96	563	24.5	71.9	0.95
1262	chr15	88751169	88752424	CpG: 144	1255	144	779	22.9	62.1	1.19
1184	chr15	78539511	78539843	CpG: 30	332	30	214	18.1	64.5	0.88
1262	chr15	88819049	88820117	CpG: 97	1068	97	669	18.2	62.6	0.93
1208	chr15	81663844	81664100	CpG: 26	256	26	164	20.3	64.1	1.02
1208	chr15	81664283	81664525	CpG: 18	242	18	138	14.9	57	0.92
1208	chr15	81693572	81695044	CpG: 155	1472	155	1080	21.1	73.4	0.79
1264	chr15	89122928	89123448	CpG: 46	520	46	319	17.7	61.3	0.94
1178	chr15	77841180	77842605	CpG: 133	1425	133	959	18.7	67.3	0.83
1219	chr15	83171713	83172374	CpG: 63	661	63	445	19.1	67.3	0.85
1220	chr15	83251083	83251828	CpG: 71	745	71	521	19.1	69.9	0.79
1179	chr15	77928841	77929138	CpG: 24	297	24	188	16.2	63.3	0.81
1179	chr15	77955711	77956835	CpG: 85	1124	85	727	15.1	64.7	0.72
1185	chr15	78671939	78672648	CpG: 50	709	50	463	14.1	65.3	0.67
1185	chr15	78672946	78673306	CpG: 25	360	25	219	13.9	60.8	0.75
1185	chr15	78712773	78713098	CpG: 31	325	31	174	19.1	53.5	1.33
1185	chr15	78718605	78718878	CpG: 29	273	29	201	21.2	73.6	0.79
1265	chr15	89140089	89140792	CpG: 64	703	64	479	18.2	68.1	0.8
1264	chr15	89128456	89128782	CpG: 24	326	24	193	14.7	59.2	0.85
1186	chr15	78799095	78799374	CpG: 19	279	19	187	13.6	67	0.63
1186	chr15	78802368	78803202	CpG: 119	834	119	637	28.5	76.4	1.01
1186	chr15	78842418	78843139	CpG: 67	721	67	449	18.6	62.3	0.97
1186	chr15	78847491	78847711	CpG: 16	220	16	138	14.5	62.7	0.77
1179	chr15	77970440	77971205	CpG: 72	765	72	483	18.8	63.1	0.94
1180	chr15	77995104	77995554	CpG: 40	450	40	300	17.8	66.7	0.84
1181	chr15	78119597	78120185	CpG: 61	588	61	414	20.7	70.4	0.84
1265	chr15	89146448	89146977	CpG: 41	529	41	332	15.5	62.8	0.79
1265	chr15	89149271	89149579	CpG: 37	308	37	224	24	72.7	0.93
1186	chr15	78877061	78877865	CpG: 83	804	83	487	20.6	60.6	1.13
1181	chr15	78174277	78174501	CpG: 16	224	16	135	14.3	60.3	0.79
1197	chr15	80263905	80264458	CpG: 56	553	56	366	20.3	66.2	0.93
1191	chr15	79516277	79516758	CpG: 53	481	53	315	22	65.5	1.04
1191	chr15	79545998	79547141	CpG: 130	1143	130	753	22.7	65.9	1.05
1221	chr15	83464171	83464553	CpG: 38	382	38	213	19.9	55.8	1.29
1265	chr15	89160438	89161110	CpG: 46	672	46	415	13.7	61.8	0.72
1265	chr15	89167457	89167709	CpG: 25	252	25	164	19.8	65.1	0.94
1265	chr15	89173048	89173700	CpG: 57	652	57	438	17.5	67.2	0.78
1265	chr15	89180327	89181243	CpG: 85	916	85	553	18.6	60.4	1.02
1220	chr15	83349950	83350539	CpG: 61	589	61	405	20.7	68.8	0.88
1187	chr15	78913720	78914620	CpG: 129	900	129	646	28.7	71.8	1.11
1265	chr15	89196014	89196641	CpG: 59	627	59	425	18.8	67.8	0.83
1187	chr15	78928020	78928259	CpG: 20	239	20	155	16.7	64.9	0.8
1187	chr15	78947735	78948013	CpG: 24	278	24	175	17.3	62.9	0.87
1187	chr15	78967704	78968007	CpG: 25	303	25	193	16.5	63.7	0.94
1187	chr15	78982709	78983320	CpG: 50	611	50	354	16.4	57.9	0.98
1187	chr15	78992999	78993239	CpG: 22	240	22	160	18.3	66.7	0.83
1183	chr15	78406315	78406690	CpG: 28	375	28	227	14.9	60.5	0.82
1183	chr15	78410074	78410683	CpG: 64	609	64	393	21	64.5	1.02
1183	chr15	78405626	78405862	CpG: 21	236	21	148	17.8	62.7	0.91
